Date,Time,Temperature (C),Humidity (%)
2024-07-24,12:33:44,29.90C,91.60%
2024-07-24,12:33:46,29.80C,92.10%
2024-07-24,12:33:48,29.80C,91.10%
2024-07-24,12:33:50,29.90C,91.10%
2024-07-24,12:33:52,29.90C,91.10%
2024-07-24,12:33:54,29.90C,91.10%
2024-07-24,12:33:56,29.70C,92.20%
2024-07-24,12:33:58,30.00C,92.40%
2024-07-24,12:34:00,29.90C,91.10%
2024-07-24,12:34:02,29.80C,91.10%
2024-07-24,12:34:04,29.90C,91.10%
2024-07-24,12:34:06,29.80C,90.80%
2024-07-24,12:34:08,29.80C,92.10%
2024-07-24,12:34:10,29.90C,90.80%
2024-07-24,12:34:12,29.80C,91.60%
2024-07-24,12:34:14,29.90C,92.50%
2024-07-24,12:34:16,29.90C,91.10%
2024-07-24,12:34:18,30.00C,92.40%
2024-07-24,12:34:20,29.90C,91.10%
2024-07-24,12:34:23,30.00C,91.00%
2024-07-24,12:34:25,29.90C,91.60%
2024-07-24,12:34:27,29.90C,90.10%
2024-07-24,12:34:29,29.90C,91.60%
2024-07-24,12:34:31,29.90C,91.10%
2024-07-24,12:34:33,29.80C,91.60%
2024-07-24,12:34:35,29.90C,90.10%
2024-07-24,12:34:37,29.90C,91.10%
2024-07-24,12:34:39,29.80C,91.10%
2024-07-24,12:34:41,30.00C,91.00%
2024-07-24,12:34:43,29.80C,92.50%
2024-07-24,12:34:45,29.80C,91.10%
2024-07-24,12:34:47,29.90C,90.80%
2024-07-24,12:34:49,29.80C,90.10%
2024-07-24,12:34:51,29.90C,91.10%
2024-07-24,12:34:53,29.90C,91.10%
2024-07-24,12:34:55,29.80C,91.10%
2024-07-24,12:34:57,29.80C,92.10%
2024-07-24,12:34:59,29.80C,90.80%
2024-07-24,12:35:01,29.90C,90.50%
2024-07-24,12:35:03,29.90C,91.60%
2024-07-24,12:35:05,29.90C,92.50%
2024-07-24,12:35:08,30.00C,91.00%
2024-07-24,12:35:10,30.00C,90.00%
2024-07-24,12:35:12,29.90C,91.60%
2024-07-24,12:35:14,29.90C,91.10%
2024-07-24,12:35:16,29.90C,91.10%
2024-07-24,12:35:18,29.90C,91.60%
2024-07-24,12:35:20,29.90C,90.80%
2024-07-24,12:35:22,29.90C,90.80%
2024-07-24,12:35:24,30.00C,91.00%
2024-07-24,12:35:26,30.00C,91.00%
2024-07-24,12:35:28,30.00C,90.70%
2024-07-24,12:35:30,30.00C,92.40%
2024-07-24,12:35:32,29.90C,91.10%
2024-07-24,12:35:34,29.80C,91.10%
